estimator,chemistry,precision,asset,bytes,refit_scope,requires_initial_soc,note
proposed_G4,LFP,fp32,network_weights,479292,training profiles in each LOPO fold,False,ST lossless FP32 constants
proposed_G4,LFP,fp32,R0_temperature_table,128,training profiles in each LOPO fold,False,temperature and R0 double arrays
proposed_G4,LFP,fp32,normalization_stats,136,training profiles in each LOPO fold,False,float32 mean and std
proposed_G4,LFP,fp32,EMA_runtime_state,72,training profiles in each LOPO fold,False,8 double states plus counters/padding
proposed_G4,LFP,fp32,rolling_window,3400,training profiles in each LOPO fold,False,float32 50-sample window
proposed_G4,LFP,fp32,activation_arena,58184,training profiles in each LOPO fold,False,ST runtime arena
proposed_G4,LFP,fp32,initial_SOC,0,training profiles in each LOPO fold,False,not required
proposed_T6,LFP,fp32,network_weights,475196,training profiles in each LOPO fold,False,ST lossless FP32 constants
proposed_T6,LFP,fp32,R0_temperature_table,128,training profiles in each LOPO fold,False,temperature and R0 double arrays
proposed_T6,LFP,fp32,normalization_stats,72,training profiles in each LOPO fold,False,float32 mean and std
proposed_T6,LFP,fp32,EMA_runtime_state,72,training profiles in each LOPO fold,False,8 double states plus counters/padding
proposed_T6,LFP,fp32,rolling_window,1800,training profiles in each LOPO fold,False,float32 50-sample window
proposed_T6,LFP,fp32,activation_arena,56584,training profiles in each LOPO fold,False,ST runtime arena
proposed_T6,LFP,fp32,initial_SOC,0,training profiles in each LOPO fold,False,not required
proposed_T7,LFP,fp32,network_weights,473124,training profiles in each LOPO fold,False,ST lossless FP32 constants
proposed_T7,LFP,fp32,R0_temperature_table,128,training profiles in each LOPO fold,False,temperature and R0 double arrays
proposed_T7,LFP,fp32,normalization_stats,88,training profiles in each LOPO fold,False,float32 mean and std
proposed_T7,LFP,fp32,EMA_runtime_state,72,training profiles in each LOPO fold,False,8 double states plus counters/padding
proposed_T7,LFP,fp32,rolling_window,2200,training profiles in each LOPO fold,False,float32 50-sample window
proposed_T7,LFP,fp32,activation_arena,56984,training profiles in each LOPO fold,False,ST runtime arena
proposed_T7,LFP,fp32,initial_SOC,0,training profiles in each LOPO fold,False,not required
proposed_G4,NMC,fp32,network_weights,479292,training profiles in each LOPO fold,False,ST lossless FP32 constants
proposed_G4,NMC,fp32,R0_temperature_table,48,training profiles in each LOPO fold,False,temperature and R0 double arrays
proposed_G4,NMC,fp32,normalization_stats,136,training profiles in each LOPO fold,False,float32 mean and std
proposed_G4,NMC,fp32,EMA_runtime_state,72,training profiles in each LOPO fold,False,8 double states plus counters/padding
proposed_G4,NMC,fp32,rolling_window,3400,training profiles in each LOPO fold,False,float32 50-sample window
proposed_G4,NMC,fp32,activation_arena,58184,training profiles in each LOPO fold,False,ST runtime arena
